year	orgnr	organisasjon_navn	medlemmer
"2010"		"TOTALT"	"450176"
"2011"		"TOTALT"	"484534"
"2012"		"TOTALT"	"510684"
"2013"		"TOTALT"	"549401"
"2014"		"TOTALT"	"587292"
"2015"		"TOTALT"	"558977"
"2016"		"TOTALT"	"622043"
"2017"		"TOTALT"	"619222"
"2010"	"811014982"	"Jæren Kristne Senter"	"89"
"2011"	"811014982"	"Jæren Kristne Senter"	"77"
"2012"	"811014982"		"—"
"2013"	"811014982"	"Jæren Kristne Senter"	"73"
"2014"	"811014982"	"Jæren Kristne Senter"	"73"
"2015"	"811014982"	"Jæren Kristne Senter"	"74"
"2016"	"811014982"		"—"
"2017"	"811014982"		"—"
"2010"	"811729612"		"—"
"2011"	"811729612"		"—"
"2012"	"811729612"		"—"
"2013"	"811729612"		"—"
"2014"	"811729612"		"—"
"2015"	"811729612"	"Masjid Al-Towhid"	"49"
"2016"	"811729612"		"—"
"2017"	"811729612"		"—"
"2010"	"812086332"		"—"
"2011"	"812086332"		"—"
"2012"	"812086332"		"—"
"2013"	"812086332"		"—"
"2014"	"812086332"		"—"
"2015"	"812086332"	"Masjidelsalam"	"52"
"2016"	"812086332"	"Masjidelsalam"	"65"
"2017"	"812086332"	"Masjidelsalam"	"84"
"2010"	"812466852"		"—"
"2011"	"812466852"		"—"
"2012"	"812466852"		"—"
"2013"	"812466852"		"—"
"2014"	"812466852"	"Familiekirken Mandal"	"311"
"2015"	"812466852"	"Familiekirken Mandal"	"315"
"2016"	"812466852"	"Familiekirken Mandal"	"309"
"2017"	"812466852"	"Familiekirken Mandal"	"310"
"2010"	"813346052"		"—"
"2011"	"813346052"		"—"
"2012"	"813346052"		"—"
"2013"	"813346052"		"—"
"2014"	"813346052"		"—"
"2015"	"813346052"		"—"
"2016"	"813346052"	"Den Orthodokse Tewahedo Menighet i Levanger"	"68"
"2017"	"813346052"	"Den Orthodokse Tewahedo Menighet i Levanger"	"85"
"2010"	"813364972"		"—"
"2011"	"813364972"		"—"
"2012"	"813364972"		"—"
"2013"	"813364972"		"—"
"2014"	"813364972"		"—"
"2015"	"813364972"	"Eritrean Orthodox Tewahdo Kirke På Hamar"	"82"
"2016"	"813364972"	"Eritrean Orthodox Tewahdo Kirke På Hamar"	"135"
"2017"	"813364972"	"St.Rufael Eritreisk Ortodokse Tewahdo Kirke Hamar"	"145"
